Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.500000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.800000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Tuesday, September 19, 2023 16:13:44"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u''),Tr 7  Data(e'),Tr 8  Data(e'')
12400000000.0000,7.354630e-001,3.817230e-001,6.137695e+000,2.839225e+000,1.000000e+000,0.000000e+000,6.137695e+000,2.839225e+000
12456565656.5657,7.293192e-001,3.843503e-001,6.189330e+000,2.881051e+000,1.000000e+000,0.000000e+000,6.189330e+000,2.881051e+000
12513131313.1313,7.319882e-001,3.866760e-001,6.209917e+000,2.801719e+000,1.000000e+000,0.000000e+000,6.209917e+000,2.801719e+000
12569696969.6970,7.256979e-001,3.889165e-001,6.256520e+000,2.877581e+000,1.000000e+000,0.000000e+000,6.256520e+000,2.877581e+000
12626262626.2626,7.284515e-001,3.903707e-001,6.282637e+000,2.825222e+000,1.000000e+000,0.000000e+000,6.282637e+000,2.825222e+000
12682828282.8283,7.238714e-001,3.931815e-001,6.300866e+000,2.887395e+000,1.000000e+000,0.000000e+000,6.300866e+000,2.887395e+000
12739393939.3939,7.244772e-001,3.941248e-001,6.320878e+000,2.833137e+000,1.000000e+000,0.000000e+000,6.320878e+000,2.833137e+000
12795959595.9596,7.206359e-001,3.971649e-001,6.334650e+000,2.871136e+000,1.000000e+000,0.000000e+000,6.334650e+000,2.871136e+000
12852525252.5253,7.192594e-001,3.988129e-001,6.364812e+000,2.804332e+000,1.000000e+000,0.000000e+000,6.364812e+000,2.804332e+000
12909090909.0909,7.163296e-001,4.005721e-001,6.379908e+000,2.889460e+000,1.000000e+000,0.000000e+000,6.379908e+000,2.889460e+000
12965656565.6566,7.143690e-001,4.024411e-001,6.395245e+000,2.823126e+000,1.000000e+000,0.000000e+000,6.395245e+000,2.823126e+000
13022222222.2222,7.133739e-001,4.040289e-001,6.374527e+000,2.864544e+000,1.000000e+000,0.000000e+000,6.374527e+000,2.864544e+000
13078787878.7879,7.110879e-001,4.070559e-001,6.457641e+000,2.813626e+000,1.000000e+000,0.000000e+000,6.457641e+000,2.813626e+000
13135353535.3535,7.087817e-001,4.086971e-001,6.427983e+000,2.836325e+000,1.000000e+000,0.000000e+000,6.427983e+000,2.836325e+000
13191919191.9192,7.060027e-001,4.098817e-001,6.539507e+000,2.855184e+000,1.000000e+000,0.000000e+000,6.539507e+000,2.855184e+000
