Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.500000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.800000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Tuesday, September 19, 2023 16:08:37"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u''),Tr 7  Data(e'),Tr 8  Data(e'')
12400000000.0000,7.612234e-001,3.613785e-001,6.324259e+000,2.964945e+000,1.000000e+000,0.000000e+000,6.324259e+000,2.964945e+000
12456565656.5657,7.546325e-001,3.636953e-001,6.320710e+000,2.992006e+000,1.000000e+000,0.000000e+000,6.320710e+000,2.992006e+000
12513131313.1313,7.560709e-001,3.655169e-001,6.331743e+000,2.918710e+000,1.000000e+000,0.000000e+000,6.331743e+000,2.918710e+000
12569696969.6970,7.502429e-001,3.676697e-001,6.339173e+000,2.974661e+000,1.000000e+000,0.000000e+000,6.339173e+000,2.974661e+000
12626262626.2626,7.515533e-001,3.687349e-001,6.354965e+000,2.936645e+000,1.000000e+000,0.000000e+000,6.354965e+000,2.936645e+000
12682828282.8283,7.475211e-001,3.715104e-001,6.342807e+000,2.973754e+000,1.000000e+000,0.000000e+000,6.342807e+000,2.973754e+000
12739393939.3939,7.465672e-001,3.721756e-001,6.350497e+000,2.939275e+000,1.000000e+000,0.000000e+000,6.350497e+000,2.939275e+000
12795959595.9596,7.433177e-001,3.748274e-001,6.336213e+000,2.958225e+000,1.000000e+000,0.000000e+000,6.336213e+000,2.958225e+000
12852525252.5253,7.405402e-001,3.761567e-001,6.345195e+000,2.909272e+000,1.000000e+000,0.000000e+000,6.345195e+000,2.909272e+000
12909090909.0909,7.386583e-001,3.776256e-001,6.338049e+000,2.967616e+000,1.000000e+000,0.000000e+000,6.338049e+000,2.967616e+000
12965656565.6566,7.353614e-001,3.793838e-001,6.334641e+000,2.918322e+000,1.000000e+000,0.000000e+000,6.334641e+000,2.918322e+000
13022222222.2222,7.352340e-001,3.806072e-001,6.300466e+000,2.933960e+000,1.000000e+000,0.000000e+000,6.300466e+000,2.933960e+000
13078787878.7879,7.318390e-001,3.833320e-001,6.356098e+000,2.900766e+000,1.000000e+000,0.000000e+000,6.356098e+000,2.900766e+000
13135353535.3535,7.307759e-001,3.845175e-001,6.310080e+000,2.895449e+000,1.000000e+000,0.000000e+000,6.310080e+000,2.895449e+000
13191919191.9192,7.271670e-001,3.855807e-001,6.386583e+000,2.927560e+000,1.000000e+000,0.000000e+000,6.386583e+000,2.927560e+000
13248484848.4848,7.254694e-001,3.871855e-001,6.282123e+000,2.891631e+000,1.000000e+000,0.000000e+000,6.282123e+000,2.891631e+000
13305050505.0505,7.212419e-001,3.887587e-001,6.340164e+000,2.938943e+000,1.000000e+000,0.000000e+000,6.340164e+000,2.938943e+000
13361616161.6162,7.196830e-001,3.905997e-001,6.313257e+000,2.865818e+000,1.000000e+000,0.000000e+000,6.313257e+000,2.865818e+000
13418181818.1818,7.178045e-001,3.921541e-001,6.360314e+000,2.890664e+000,1.000000e+000,0.000000e+000,6.360314e+000,2.890664e+000
13474747474.7475,7.144596e-001,3.922736e-001,6.380493e+000,2.905901e+000,1.000000e+000,0.000000e+000,6.380493e+000,2.905901e+000
13531313131.3131,7.145328e-001,3.946054e-001,6.388203e+000,2.905533e+000,1.000000e+000,0.000000e+000,6.388203e+000,2.905533e+000
13587878787.8788,7.085485e-001,3.939659e-001,6.375343e+000,2.944739e+000,1.000000e+000,0.000000e+000,6.375343e+000,2.944739e+000
13644444444.4444,7.085923e-001,3.967917e-001,6.343779e+000,2.871427e+000,1.000000e+000,0.000000e+000,6.343779e+000,2.871427e+000
13701010101.0101,7.031865e-001,3.964815e-001,6.370759e+000,2.879724e+000,1.000000e+000,0.000000e+000,6.370759e+000,2.879724e+000
13757575757.5758,7.039387e-001,3.979498e-001,6.406653e+000,2.847051e+000,1.000000e+000,0.000000e+000,6.406653e+000,2.847051e+000
13814141414.1414,7.015526e-001,3.987453e-001,6.401862e+000,2.869043e+000,1.000000e+000,0.000000e+000,6.401862e+000,2.869043e+000
13870707070.7071,7.011373e-001,3.981572e-001,6.422802e+000,2.896507e+000,1.000000e+000,0.000000e+000,6.422802e+000,2.896507e+000
13927272727.2727,6.983533e-001,4.006730e-001,6.311919e+000,2.860308e+000,1.000000e+000,0.000000e+000,6.311919e+000,2.860308e+000
13983838383.8384,6.938203e-001,4.002678e-001,6.302099e+000,2.846850e+000,1.000000e+000,0.000000e+000,6.302099e+000,2.846850e+000
14040404040.4040,6.924206e-001,4.027226e-001,6.251808e+000,2.767110e+000,1.000000e+000,0.000000e+000,6.251808e+000,2.767110e+000
14096969696.9697,6.912102e-001,4.024196e-001,6.335843e+000,2.774084e+000,1.000000e+000,0.000000e+000,6.335843e+000,2.774084e+000
14153535353.5354,6.930154e-001,4.036604e-001,6.259704e+000,2.770721e+000,1.000000e+000,0.000000e+000,6.259704e+000,2.770721e+000
14210101010.1010,6.891508e-001,4.061738e-001,6.271674e+000,2.818217e+000,1.000000e+000,0.000000e+000,6.271674e+000,2.818217e+000
14266666666.6667,6.874604e-001,4.050413e-001,6.161747e+000,2.800902e+000,1.000000e+000,0.000000e+000,6.161747e+000,2.800902e+000
14323232323.2323,6.817828e-001,4.093434e-001,6.168726e+000,2.741162e+000,1.000000e+000,0.000000e+000,6.168726e+000,2.741162e+000
14379797979.7980,6.799716e-001,4.074414e-001,6.135176e+000,2.721416e+000,1.000000e+000,0.000000e+000,6.135176e+000,2.721416e+000
14436363636.3636,6.780544e-001,4.119476e-001,6.193953e+000,2.727610e+000,1.000000e+000,0.000000e+000,6.193953e+000,2.727610e+000
