Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.500000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.800000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Tuesday, September 19, 2023 16:11:43"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u''),Tr 7  Data(e'),Tr 8  Data(e'')
12400000000.0000,7.184880e-001,3.627780e-001,5.222469e+000,3.647500e+000,1.000000e+000,0.000000e+000,5.222469e+000,3.647500e+000
12456565656.5657,7.129387e-001,3.661378e-001,5.313435e+000,3.650028e+000,1.000000e+000,0.000000e+000,5.313435e+000,3.650028e+000
12513131313.1313,7.164349e-001,3.677197e-001,5.435963e+000,3.547287e+000,1.000000e+000,0.000000e+000,5.435963e+000,3.547287e+000
12569696969.6970,7.111831e-001,3.702761e-001,5.503331e+000,3.581886e+000,1.000000e+000,0.000000e+000,5.503331e+000,3.581886e+000
12626262626.2626,7.147301e-001,3.708217e-001,5.616719e+000,3.504168e+000,1.000000e+000,0.000000e+000,5.616719e+000,3.504168e+000
12682828282.8283,7.117215e-001,3.743125e-001,5.679438e+000,3.524121e+000,1.000000e+000,0.000000e+000,5.679438e+000,3.524121e+000
12739393939.3939,7.132863e-001,3.750321e-001,5.786181e+000,3.449817e+000,1.000000e+000,0.000000e+000,5.786181e+000,3.449817e+000
12795959595.9596,7.111784e-001,3.783416e-001,5.859491e+000,3.461770e+000,1.000000e+000,0.000000e+000,5.859491e+000,3.461770e+000
12852525252.5253,7.106987e-001,3.800114e-001,5.970618e+000,3.384506e+000,1.000000e+000,0.000000e+000,5.970618e+000,3.384506e+000
12909090909.0909,7.095361e-001,3.816059e-001,6.037791e+000,3.465840e+000,1.000000e+000,0.000000e+000,6.037791e+000,3.465840e+000
12965656565.6566,7.080931e-001,3.835378e-001,6.124592e+000,3.397592e+000,1.000000e+000,0.000000e+000,6.124592e+000,3.397592e+000
13022222222.2222,7.085064e-001,3.847347e-001,6.154771e+000,3.435747e+000,1.000000e+000,0.000000e+000,6.154771e+000,3.435747e+000
13078787878.7879,7.065669e-001,3.876524e-001,6.296287e+000,3.393044e+000,1.000000e+000,0.000000e+000,6.296287e+000,3.393044e+000
13135353535.3535,7.053626e-001,3.887255e-001,6.305264e+000,3.414199e+000,1.000000e+000,0.000000e+000,6.305264e+000,3.414199e+000
13191919191.9192,7.027393e-001,3.899639e-001,6.468752e+000,3.449956e+000,1.000000e+000,0.000000e+000,6.468752e+000,3.449956e+000
13248484848.4848,7.002012e-001,3.909974e-001,6.399993e+000,3.446295e+000,1.000000e+000,0.000000e+000,6.399993e+000,3.446295e+000
13305050505.0505,6.961951e-001,3.924943e-001,6.539381e+000,3.502587e+000,1.000000e+000,0.000000e+000,6.539381e+000,3.502587e+000
13361616161.6162,6.938225e-001,3.937700e-001,6.550959e+000,3.446983e+000,1.000000e+000,0.000000e+000,6.550959e+000,3.446983e+000
13418181818.1818,6.916809e-001,3.951570e-001,6.681726e+000,3.474126e+000,1.000000e+000,0.000000e+000,6.681726e+000,3.474126e+000
13474747474.7475,6.874509e-001,3.944527e-001,6.738560e+000,3.524304e+000,1.000000e+000,0.000000e+000,6.738560e+000,3.524304e+000
13531313131.3131,6.864048e-001,3.963679e-001,6.824083e+000,3.527734e+000,1.000000e+000,0.000000e+000,6.824083e+000,3.527734e+000
13587878787.8788,6.799826e-001,3.951580e-001,6.827132e+000,3.598470e+000,1.000000e+000,0.000000e+000,6.827132e+000,3.598470e+000
13644444444.4444,6.786779e-001,3.974131e-001,6.842402e+000,3.517399e+000,1.000000e+000,0.000000e+000,6.842402e+000,3.517399e+000
13701010101.0101,6.732294e-001,3.970966e-001,6.890016e+000,3.528080e+000,1.000000e+000,0.000000e+000,6.890016e+000,3.528080e+000
13757575757.5758,6.726221e-001,3.976360e-001,6.998843e+000,3.490742e+000,1.000000e+000,0.000000e+000,6.998843e+000,3.490742e+000
13814141414.1414,6.696028e-001,3.983469e-001,7.002876e+000,3.526239e+000,1.000000e+000,0.000000e+000,7.002876e+000,3.526239e+000
13870707070.7071,6.673818e-001,3.968656e-001,7.088055e+000,3.566587e+000,1.000000e+000,0.000000e+000,7.088055e+000,3.566587e+000
13927272727.2727,6.640104e-001,3.993934e-001,6.961953e+000,3.544117e+000,1.000000e+000,0.000000e+000,6.961953e+000,3.544117e+000
