Transmission Line And Free Space Method 18.0.18011201,,,,,,,,,,,,,,
Keysight Technologies,N5232B,MY57181309,A.13.20.12,,,,,,,,,,,
,,,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,,,
Ports:, 1 & 2,,,,,,,,,,,,,
Measurement Model:, Reflection/Transmission Mu and Epsilon,,,,,,,,,,,,,
Sample Holder Type:, Waveguide,,,,,,,,,,,,,
Cutoff Frequency:, 9.487103 GHz,,,,,,,,,,,,,
Sample Holder Length:, 6.500000 mm,,,,,,,,,,,,,
Distance to Sample:, 0.000000 mm,,,,,,,,,,,,,
Sample Thickness:, 0.900000 mm,,,,,,,,,,,,,
IFBW:, 300.000000 Hz,,,,,,,,,,,,,
Power:, 0.000000 dBm,,,,,,,,,,,,,
Date:,"Wednesday, November 16, 2022 01:05:36",,,,,,,,,,,,,
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u''),,R,T,A,,SEr,Set,Sea
12400000000,6.41E-01,4.83E-01,7.12E+00,4.74E+00,1.05E+00,5.33E-03,,0.41,0.23,0.36,,2.30,6.32,4.03
12456565657,6.35E-01,4.84E-01,7.11E+00,4.73E+00,1.05E+00,8.38E-03,,0.40,0.23,0.36,,2.25,6.31,4.07
12513131313,6.37E-01,4.85E-01,7.12E+00,4.72E+00,1.04E+00,1.26E-04,,0.41,0.24,0.36,,2.26,6.28,4.02
12569696970,6.33E-01,4.86E-01,7.09E+00,4.71E+00,1.06E+00,6.99E-03,,0.40,0.24,0.36,,2.23,6.27,4.04
12626262626,6.34E-01,4.87E-01,7.09E+00,4.71E+00,1.05E+00,6.05E-03,,0.40,0.24,0.36,,2.24,6.26,4.02
12682828283,6.33E-01,4.88E-01,7.07E+00,4.69E+00,1.06E+00,8.61E-03,,0.40,0.24,0.36,,2.22,6.23,4.01
12739393939,6.30E-01,4.88E-01,7.07E+00,4.69E+00,1.05E+00,1.06E-02,,0.40,0.24,0.36,,2.20,6.22,4.02
12795959596,6.30E-01,4.91E-01,7.05E+00,4.68E+00,1.06E+00,5.27E-03,,0.40,0.24,0.36,,2.20,6.18,3.98
12852525253,6.26E-01,4.90E-01,7.04E+00,4.66E+00,1.05E+00,1.24E-02,,0.39,0.24,0.37,,2.16,6.19,4.03
12909090909,6.29E-01,4.92E-01,7.02E+00,4.66E+00,1.07E+00,1.05E-02,,0.40,0.24,0.36,,2.18,6.16,3.97
12965656566,6.24E-01,4.92E-01,7.01E+00,4.64E+00,1.05E+00,1.74E-02,,0.39,0.24,0.37,,2.14,6.16,4.02
