Transmission Line And Free Space Method 18.0.18011201,,,,,,,,,,,,,,
Keysight Technologies,N5232B,MY57181309,A.13.20.12,,,,,,,,,,,
,,,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,,,
Ports:, 1 & 2,,,,,,,,,,,,,
Measurement Model:, Reflection/Transmission Mu and Epsilon,,,,,,,,,,,,,
Sample Holder Type:, Waveguide,,,,,,,,,,,,,
Cutoff Frequency:, 9.487103 GHz,,,,,,,,,,,,,
Sample Holder Length:, 6.500000 mm,,,,,,,,,,,,,
Distance to Sample:, 0.000000 mm,,,,,,,,,,,,,
Sample Thickness:, 2.800000 mm,,,,,,,,,,,,,
IFBW:, 300.000000 Hz,,,,,,,,,,,,,
Power:, 0.000000 dBm,,,,,,,,,,,,,
Date:,"Tuesday, November 22, 2022 17:08:18",,,,,,,,,,,,,
frequency(Hz),Tr 1  Data(e'),Tr 2  Data(e''),Tr 3  Data(u'),Tr 4  Data(u''),Tr 5  S11(LinM),Tr 6  S21(LinM),,R,T,A,,SEr,Set,Sea
12400000000,8.93E+00,4.10E+00,9.86E-01,3.91E-02,7.39E-01,3.20E-01,,0.547,0.102,0.351,,3.436,9.908,6.472
12456565657,8.88E+00,4.11E+00,9.86E-01,3.67E-02,7.33E-01,3.22E-01,,0.537,0.104,0.359,,3.346,9.845,6.499
12513131313,8.95E+00,4.09E+00,9.82E-01,3.82E-02,7.31E-01,3.23E-01,,0.534,0.104,0.361,,3.321,9.816,6.496
12569696970,8.88E+00,4.13E+00,9.87E-01,3.37E-02,7.25E-01,3.25E-01,,0.525,0.106,0.369,,3.235,9.763,6.528
12626262626,8.91E+00,4.11E+00,9.83E-01,3.65E-02,7.24E-01,3.26E-01,,0.524,0.106,0.370,,3.224,9.745,6.521
12682828283,8.83E+00,4.15E+00,9.90E-01,3.33E-02,7.18E-01,3.28E-01,,0.515,0.107,0.378,,3.141,9.687,6.545
12739393939,8.86E+00,4.08E+00,9.83E-01,3.88E-02,7.17E-01,3.29E-01,,0.514,0.108,0.378,,3.133,9.666,6.533
12795959596,8.77E+00,4.11E+00,9.91E-01,3.70E-02,7.09E-01,3.30E-01,,0.503,0.109,0.388,,3.033,9.624,6.591
12852525253,8.85E+00,4.03E+00,9.81E-01,4.04E-02,7.10E-01,3.32E-01,,0.503,0.110,0.386,,3.040,9.572,6.531
12909090909,8.72E+00,4.09E+00,9.93E-01,3.92E-02,7.01E-01,3.32E-01,,0.491,0.111,0.398,,2.937,9.565,6.628
12965656566,8.79E+00,4.00E+00,9.83E-01,4.30E-02,7.02E-01,3.35E-01,,0.492,0.112,0.395,,2.944,9.495,6.550
