Transmission Line And Free Space Method 18.0.18011201,,,,,,,,,,,,,,
Keysight Technologies,N5232B,MY57181309,A.13.20.12,,,,,,,,,,,
,,,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,,,
Ports:, 1 & 2,,,,,,,,,,,,,
Measurement Model:, Reflection/Transmission Epsilon Precision,,,,,,,,,,,,,
Sample Holder Type:, Waveguide,,,,,,,,,,,,,
Cutoff Frequency:, 9.487103 GHz,,,,,,,,,,,,,
Sample Holder Length:, 6.500000 mm,,,,,,,,,,,,,
Distance to Sample:, 0.000000 mm,,,,,,,,,,,,,
Sample Thickness:, 2.000000 mm,,,,,,,,,,,,,
IFBW:, 300.000000 Hz,,,,,,,,,,,,,
Power:, 0.000000 dBm,,,,,,,,,,,,,
Date:,"Monday, August 22, 2022 20:59:24",,,,,,,,,,,,,
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 4  Data(e'),Tr 5  Data(e''),Tr 6  Data(u'),Tr 7  Data(u''),,R,T,A,,SER,SET,SEA
12400000000,8.31E-01,1.79E-01,1.11E+01,7.76E+00,1.00E+00,0.00E+00,,0.690,0.032,0.278,,5.083,14.925,9.843
12456565657,8.26E-01,1.80E-01,1.08E+01,7.48E+00,1.00E+00,0.00E+00,,0.682,0.032,0.286,,4.975,14.882,9.908
12513131313,8.24E-01,1.81E-01,1.10E+01,7.64E+00,1.00E+00,0.00E+00,,0.680,0.033,0.288,,4.945,14.866,9.922
12569696970,8.24E-01,1.81E-01,1.08E+01,7.46E+00,1.00E+00,0.00E+00,,0.679,0.033,0.288,,4.931,14.823,9.892
12626262626,8.20E-01,1.82E-01,1.09E+01,7.78E+00,1.00E+00,0.00E+00,,0.673,0.033,0.294,,4.852,14.814,9.963
12682828283,8.22E-01,1.83E-01,1.09E+01,7.48E+00,1.00E+00,0.00E+00,,0.676,0.033,0.291,,4.893,14.757,9.863
12739393939,8.16E-01,1.83E-01,1.07E+01,7.70E+00,1.00E+00,0.00E+00,,0.666,0.034,0.300,,4.762,14.744,9.981
12795959596,8.19E-01,1.84E-01,1.08E+01,7.51E+00,1.00E+00,0.00E+00,,0.670,0.034,0.296,,4.814,14.707,9.893
12852525253,8.12E-01,1.84E-01,1.06E+01,7.50E+00,1.00E+00,0.00E+00,,0.660,0.034,0.306,,4.684,14.692,10.008
12909090909,8.17E-01,1.85E-01,1.07E+01,7.41E+00,1.00E+00,0.00E+00,,0.668,0.034,0.298,,4.785,14.660,9.876
12965656566,8.10E-01,1.86E-01,1.05E+01,7.45E+00,1.00E+00,0.00E+00,,0.657,0.035,0.309,,4.643,14.621,9.979
