Transmission Line And Free Space Method 18.0.18011201,,,,,,,,,,,,,,
Keysight Technologies,N5232B,MY57181309,A.13.20.12,,,,,,,,,,,
,,,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,,,
Ports:, 1 & 2,,,,,,,,,,,,,
Measurement Model:, Reflection/Transmission Epsilon Precision,,,,,,,,,,,,,
Sample Holder Type:, Waveguide,,,,,,,,,,,,,
Cutoff Frequency:, 9.487103 GHz,,,,,,,,,,,,,
Sample Holder Length:, 6.500000 mm,,,,,,,,,,,,,
Distance to Sample:, 0.000000 mm,,,,,,,,,,,,,
Sample Thickness:, 2.000000 mm,,,,,,,,,,,,,
IFBW:, 300.000000 Hz,,,,,,,,,,,,,
Power:, 0.000000 dBm,,,,,,,,,,,,,
Date:,"Monday, August 22, 2022 21:00:06",,,,,,,,,,,,,
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 4  Data(e'),Tr 5  Data(e''),Tr 6  Data(u'),Tr 7  Data(u''),,R,T,A,,SER,SET,SEA
12400000000,8.42E-01,1.31E-01,1.04E+01,7.09E+00,1.00E+00,0.00E+00,,0.708,0.017,0.274,,5.353,17.627,12.274
12456565657,8.37E-01,1.32E-01,1.02E+01,6.85E+00,1.00E+00,0.00E+00,,0.701,0.017,0.281,,5.246,17.598,12.352
12513131313,8.37E-01,1.32E-01,1.03E+01,6.97E+00,1.00E+00,0.00E+00,,0.700,0.017,0.282,,5.231,17.598,12.367
12569696970,8.36E-01,1.32E-01,1.02E+01,6.80E+00,1.00E+00,0.00E+00,,0.699,0.018,0.283,,5.217,17.568,12.352
12626262626,8.33E-01,1.32E-01,1.02E+01,7.08E+00,1.00E+00,0.00E+00,,0.694,0.017,0.288,,5.149,17.576,12.428
12682828283,8.35E-01,1.33E-01,1.02E+01,6.82E+00,1.00E+00,0.00E+00,,0.697,0.018,0.285,,5.190,17.534,12.344
12739393939,8.29E-01,1.33E-01,1.00E+01,7.02E+00,1.00E+00,0.00E+00,,0.687,0.018,0.295,,5.048,17.544,12.495
12795959596,8.31E-01,1.33E-01,1.01E+01,6.87E+00,1.00E+00,0.00E+00,,0.690,0.018,0.293,,5.084,17.527,12.443
12852525253,8.24E-01,1.33E-01,9.86E+00,6.85E+00,1.00E+00,0.00E+00,,0.679,0.018,0.303,,4.940,17.535,12.594
12909090909,8.28E-01,1.33E-01,9.94E+00,6.75E+00,1.00E+00,0.00E+00,,0.686,0.018,0.296,,5.033,17.523,12.489
12965656566,8.22E-01,1.33E-01,9.73E+00,6.75E+00,1.00E+00,0.00E+00,,0.676,0.018,0.306,,4.892,17.502,12.609
