Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 1.100000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Wednesday, February 14, 2024 15:04:26"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u'')
12400000000.0000,8.814299e-001,1.796369e-001,2.135294e+001,2.450811e+001,1.000000e+000,0.000000e+000
12456565656.5657,8.719839e-001,1.797525e-001,2.073618e+001,2.638876e+001,1.000000e+000,0.000000e+000
12513131313.1313,8.751087e-001,1.808320e-001,2.147461e+001,2.576736e+001,1.000000e+000,0.000000e+000
12569696969.6970,8.706997e-001,1.809925e-001,2.051100e+001,2.810345e+001,1.000000e+000,0.000000e+000
12626262626.2626,8.697736e-001,1.809143e-001,2.070167e+001,2.757826e+001,1.000000e+000,0.000000e+000
12682828282.8283,8.712211e-001,1.824323e-001,2.026573e+001,2.832010e+001,1.000000e+000,0.000000e+000
12739393939.3939,8.617034e-001,1.815510e-001,1.970875e+001,2.921924e+001,1.000000e+000,0.000000e+000
12795959595.9596,8.676873e-001,1.832173e-001,1.995007e+001,2.886893e+001,1.000000e+000,0.000000e+000
12852525252.5253,8.537417e-001,1.816229e-001,1.900224e+001,2.980340e+001,1.000000e+000,0.000000e+000
12909090909.0909,8.667576e-001,1.831287e-001,2.036175e+001,2.810858e+001,1.000000e+000,0.000000e+000
12965656565.6566,8.500579e-001,1.827015e-001,1.885994e+001,2.896296e+001,1.000000e+000,0.000000e+000
13022222222.2222,8.631626e-001,1.836361e-001,2.030033e+001,2.760705e+001,1.000000e+000,0.000000e+000
13078787878.7879,8.467426e-001,1.842638e-001,1.814003e+001,2.899926e+001,1.000000e+000,0.000000e+000
13135353535.3535,8.594419e-001,1.840567e-001,2.041373e+001,2.687617e+001,1.000000e+000,0.000000e+000
13191919191.9192,8.451157e-001,1.852529e-001,1.763486e+001,2.707734e+001,1.000000e+000,0.000000e+000
13248484848.4848,8.576765e-001,1.854652e-001,2.075292e+001,2.523364e+001,1.000000e+000,0.000000e+000
13305050505.0505,8.482978e-001,1.881369e-001,1.827193e+001,2.586157e+001,1.000000e+000,0.000000e+000
13361616161.6162,8.529212e-001,1.879482e-001,2.132757e+001,2.730928e+001,1.000000e+000,0.000000e+000
13418181818.1818,8.483882e-001,1.899467e-001,1.792822e+001,2.541908e+001,1.000000e+000,0.000000e+000
13474747474.7475,8.467206e-001,1.891619e-001,1.952247e+001,2.981281e+001,1.000000e+000,0.000000e+000
13531313131.3131,8.523490e-001,1.909712e-001,1.761422e+001,2.209829e+001,1.000000e+000,0.000000e+000
13587878787.8788,8.410220e-001,1.909322e-001,1.920148e+001,2.747286e+001,1.000000e+000,0.000000e+000
13644444444.4444,8.547789e-001,1.928659e-001,1.902340e+001,2.191715e+001,1.000000e+000,0.000000e+000
13701010101.0101,8.333356e-001,1.924114e-001,1.815001e+001,2.961017e+001,1.000000e+000,0.000000e+000
13757575757.5758,8.490903e-001,1.921271e-001,1.861387e+001,2.336255e+001,1.000000e+000,0.000000e+000
13814141414.1414,8.342794e-001,1.941447e-001,1.694429e+001,2.906966e+001,1.000000e+000,0.000000e+000
13870707070.7071,8.527454e-001,1.929210e-001,1.912431e+001,2.407136e+001,1.000000e+000,0.000000e+000
13927272727.2727,8.345968e-001,1.952626e-001,1.645864e+001,2.715746e+001,1.000000e+000,0.000000e+000
13983838383.8384,8.462084e-001,1.931140e-001,2.043082e+001,2.393404e+001,1.000000e+000,0.000000e+000
14040404040.4040,8.311772e-001,1.955395e-001,1.658166e+001,2.658654e+001,1.000000e+000,0.000000e+000
14096969696.9697,8.393892e-001,1.933323e-001,2.085975e+001,2.617692e+001,1.000000e+000,0.000000e+000
14153535353.5354,8.359137e-001,1.956456e-001,1.590090e+001,2.404825e+001,1.000000e+000,0.000000e+000
14210101010.1010,8.414002e-001,1.962815e-001,2.041218e+001,2.644031e+001,1.000000e+000,0.000000e+000
14266666666.6667,8.374209e-001,1.951567e-001,1.541442e+001,2.292359e+001,1.000000e+000,0.000000e+000
