Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 1.100000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Wednesday, February 14, 2024 15:09:24"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u'')
12400000000.0000,8.866260e-001,1.329962e-001,1.423774e+001,4.325335e+001,1.000000e+000,0.000000e+000
12456565656.5657,8.766956e-001,1.330513e-001,9.123096e+000,4.409381e+001,1.000000e+000,0.000000e+000
12513131313.1313,8.803462e-001,1.339985e-001,1.094906e+001,4.525637e+001,1.000000e+000,0.000000e+000
12569696969.6970,8.749742e-001,1.340940e-001,5.156463e+000,4.431751e+001,1.000000e+000,0.000000e+000
12626262626.2626,8.747276e-001,1.341682e-001,6.352331e+000,4.445265e+001,1.000000e+000,0.000000e+000
12682828282.8283,8.752674e-001,1.353163e-001,4.374440e+000,4.362643e+001,1.000000e+000,0.000000e+000
12739393939.3939,8.665595e-001,1.347711e-001,3.103450e+000,4.310277e+001,1.000000e+000,0.000000e+000
12795959595.9596,8.716446e-001,1.361083e-001,3.230977e+000,4.305549e+001,1.000000e+000,0.000000e+000
12852525252.5253,8.583702e-001,1.350360e-001,1.866141e+000,4.206768e+001,1.000000e+000,0.000000e+000
12909090909.0909,8.702584e-001,1.362662e-001,4.293681e+000,4.310766e+001,1.000000e+000,0.000000e+000
12965656565.6566,8.543720e-001,1.360684e-001,2.729282e+000,4.134700e+001,1.000000e+000,0.000000e+000
13022222222.2222,8.667678e-001,1.369045e-001,4.895301e+000,4.264622e+001,1.000000e+000,0.000000e+000
13078787878.7879,8.507604e-001,1.375075e-001,2.087991e+000,4.009139e+001,1.000000e+000,0.000000e+000
13135353535.3535,8.626167e-001,1.375186e-001,5.951586e+000,4.245081e+001,1.000000e+000,0.000000e+000
13191919191.9192,8.481956e-001,1.385626e-001,4.199746e+000,3.829422e+001,1.000000e+000,0.000000e+000
13248484848.4848,8.600978e-001,1.388647e-001,8.926290e+000,4.228167e+001,1.000000e+000,0.000000e+000
13305050505.0505,8.503808e-001,1.409912e-001,6.123493e+000,3.827672e+001,1.000000e+000,0.000000e+000
13361616161.6162,8.552967e-001,1.410460e-001,4.824970e+000,4.351876e+001,1.000000e+000,0.000000e+000
13418181818.1818,8.506915e-001,1.427371e-001,6.438844e+000,3.748328e+001,1.000000e+000,0.000000e+000
13474747474.7475,8.494190e-001,1.422368e-001,1.168177e+000,4.068309e+001,1.000000e+000,0.000000e+000
13531313131.3131,8.551636e-001,1.438288e-001,1.147052e+001,3.414205e+001,1.000000e+000,0.000000e+000
13587878787.8788,8.448696e-001,1.438166e-001,4.039496e+000,4.025503e+001,1.000000e+000,0.000000e+000
13644444444.4444,8.586583e-001,1.454873e-001,1.377495e+001,3.673658e+001,1.000000e+000,0.000000e+000
13701010101.0101,8.387233e-001,1.452042e-001,7.480233e-001,3.942576e+001,1.000000e+000,0.000000e+000
13757575757.5758,8.546338e-001,1.451520e-001,1.013581e+001,3.807347e+001,1.000000e+000,0.000000e+000
13814141414.1414,8.410634e-001,1.466762e-001,7.809420e-001,3.791327e+001,1.000000e+000,0.000000e+000
13870707070.7071,8.591761e-001,1.458815e-001,8.834137e+000,3.959698e+001,1.000000e+000,0.000000e+000
13927272727.2727,8.427714e-001,1.478013e-001,2.720616e+000,3.706415e+001,1.000000e+000,0.000000e+000
13983838383.8384,8.539110e-001,1.462775e-001,9.026646e+000,4.317322e+001,1.000000e+000,0.000000e+000
14040404040.4040,8.404281e-001,1.482795e-001,2.955423e+000,3.717070e+001,1.000000e+000,0.000000e+000
14096969696.9697,8.483690e-001,1.467045e-001,3.340643e+000,4.330951e+001,1.000000e+000,0.000000e+000
14153535353.5354,8.458803e-001,1.486427e-001,5.831273e+000,3.498237e+001,1.000000e+000,0.000000e+000
14210101010.1010,8.512664e-001,1.492759e-001,2.421330e+000,4.223320e+001,1.000000e+000,0.000000e+000
14266666666.6667,8.477343e-001,1.485889e-001,6.850025e+000,3.361719e+001,1.000000e+000,0.000000e+000
14323232323.2323,8.440190e-001,1.501771e-001,1.248664e+000,4.283121e+001,1.000000e+000,0.000000e+000
14379797979.7980,8.431793e-001,1.491619e-001,7.701786e+000,3.511039e+001,1.000000e+000,0.000000e+000
14436363636.3636,8.373294e-001,1.518599e-001,-2.620450e+000,3.890774e+001,1.000000e+000,0.000000e+000
14492929292.9293,8.474536e-001,1.500620e-001,4.736060e+000,3.447159e+001,1.000000e+000,0.000000e+000
14549494949.4949,8.399846e-001,1.520660e-001,-1.490496e+000,3.584472e+001,1.000000e+000,0.000000e+000
14606060606.0606,8.460153e-001,1.511703e-001,1.918307e+000,3.552867e+001,1.000000e+000,0.000000e+000
14662626262.6263,8.293270e-001,1.519347e-001,-1.305883e+000,3.503653e+001,1.000000e+000,0.000000e+000
14719191919.1919,8.388731e-001,1.523075e-001,-2.454985e+000,3.644898e+001,1.000000e+000,0.000000e+000
14775757575.7576,8.280485e-001,1.523292e-001,-3.179746e+000,3.284695e+001,1.000000e+000,0.000000e+000
14832323232.3232,8.415351e-001,1.525891e-001,-5.778696e+000,3.317321e+001,1.000000e+000,0.000000e+000
14888888888.8889,8.322339e-001,1.513175e-001,-2.574348e+000,3.143444e+001,1.000000e+000,0.000000e+000
14945454545.4545,8.358319e-001,1.528421e-001,-5.529278e+000,3.361434e+001,1.000000e+000,0.000000e+000
15002020202.0202,8.207950e-001,1.511821e-001,-4.282795e+000,3.134262e+001,1.000000e+000,0.000000e+000
15058585858.5859,8.282774e-001,1.527826e-001,-6.311484e+000,3.455443e+001,1.000000e+000,0.000000e+000
