Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.800000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Friday, November 03, 2023 15:24:12"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u'')
12400000000.0000,8.134616e-001,6.623360e-002,7.388351e+000,4.437932e+000,1.000000e+000,0.000000e+000
12456565656.5657,8.043865e-001,6.611501e-002,7.408414e+000,4.541844e+000,1.000000e+000,0.000000e+000
12513131313.1313,8.070550e-001,6.623854e-002,7.255583e+000,4.326513e+000,1.000000e+000,0.000000e+000
12569696969.6970,8.013156e-001,6.612506e-002,7.338673e+000,4.511808e+000,1.000000e+000,0.000000e+000
12626262626.2626,8.013606e-001,6.591301e-002,7.222796e+000,4.296459e+000,1.000000e+000,0.000000e+000
12682828282.8283,7.994246e-001,6.615457e-002,7.142046e+000,4.405032e+000,1.000000e+000,0.000000e+000
12739393939.3939,7.935687e-001,6.579760e-002,7.142038e+000,4.278259e+000,1.000000e+000,0.000000e+000
12795959595.9596,7.945925e-001,6.602953e-002,6.965905e+000,4.321062e+000,1.000000e+000,0.000000e+000
12852525252.5253,7.862398e-001,6.552954e-002,7.014648e+000,4.233550e+000,1.000000e+000,0.000000e+000
12909090909.0909,7.923184e-001,6.573855e-002,6.737001e+000,4.125033e+000,1.000000e+000,0.000000e+000
12965656565.6566,7.800344e-001,6.558141e-002,6.788768e+000,4.170925e+000,1.000000e+000,0.000000e+000
13022222222.2222,7.881881e-001,6.570087e-002,6.565096e+000,3.983628e+000,1.000000e+000,0.000000e+000
13078787878.7879,7.744709e-001,6.570841e-002,6.627531e+000,4.157860e+000,1.000000e+000,0.000000e+000
13135353535.3535,7.828661e-001,6.559863e-002,6.432632e+000,3.867857e+000,1.000000e+000,0.000000e+000
13191919191.9192,7.697657e-001,6.564268e-002,6.349684e+000,4.098518e+000,1.000000e+000,0.000000e+000
13248484848.4848,7.773560e-001,6.571087e-002,6.261121e+000,3.771397e+000,1.000000e+000,0.000000e+000
13305050505.0505,7.656340e-001,6.597445e-002,6.151534e+000,4.032953e+000,1.000000e+000,0.000000e+000
13361616161.6162,7.674212e-001,6.577438e-002,6.241490e+000,3.778353e+000,1.000000e+000,0.000000e+000
13418181818.1818,7.605389e-001,6.593838e-002,5.924429e+000,3.950113e+000,1.000000e+000,0.000000e+000
13474747474.7475,7.581356e-001,6.554215e-002,6.188475e+000,3.867291e+000,1.000000e+000,0.000000e+000
13531313131.3131,7.593873e-001,6.574544e-002,5.568732e+000,3.735497e+000,1.000000e+000,0.000000e+000
13587878787.8788,7.521791e-001,6.568464e-002,5.910407e+000,3.798647e+000,1.000000e+000,0.000000e+000
13644444444.4444,7.608716e-001,6.587428e-002,5.500067e+000,3.517582e+000,1.000000e+000,0.000000e+000
13701010101.0101,7.499874e-001,6.587376e-002,5.804453e+000,3.680372e+000,1.000000e+000,0.000000e+000
13757575757.5758,7.628387e-001,6.569809e-002,5.506628e+000,3.361256e+000,1.000000e+000,0.000000e+000
13814141414.1414,7.567053e-001,6.617453e-002,5.716552e+000,3.523725e+000,1.000000e+000,0.000000e+000
13870707070.7071,7.700047e-001,6.569424e-002,5.535606e+000,3.218679e+000,1.000000e+000,0.000000e+000
13927272727.2727,7.596520e-001,6.624483e-002,5.502474e+000,3.407678e+000,1.000000e+000,0.000000e+000
13983838383.8384,7.672039e-001,6.551521e-002,5.443413e+000,3.070028e+000,1.000000e+000,0.000000e+000
14040404040.4040,7.577345e-001,6.600964e-002,5.323206e+000,3.225693e+000,1.000000e+000,0.000000e+000
14096969696.9697,7.663518e-001,6.537593e-002,5.463451e+000,2.949241e+000,1.000000e+000,0.000000e+000
14153535353.5354,7.638885e-001,6.567346e-002,5.122007e+000,3.053562e+000,1.000000e+000,0.000000e+000
14210101010.1010,7.680793e-001,6.588495e-002,5.360492e+000,2.946372e+000,1.000000e+000,0.000000e+000
14266666666.6667,7.632710e-001,6.529354e-002,4.949650e+000,2.978898e+000,1.000000e+000,0.000000e+000
14323232323.2323,7.613864e-001,6.597701e-002,5.172956e+000,2.855386e+000,1.000000e+000,0.000000e+000
14379797979.7980,7.589759e-001,6.534200e-002,4.841493e+000,2.810356e+000,1.000000e+000,0.000000e+000
14436363636.3636,7.571263e-001,6.621287e-002,5.132802e+000,2.860059e+000,1.000000e+000,0.000000e+000
14492929292.9293,7.627975e-001,6.527356e-002,4.884546e+000,2.805169e+000,1.000000e+000,0.000000e+000
14549494949.4949,7.579787e-001,6.607989e-002,4.970308e+000,2.911576e+000,1.000000e+000,0.000000e+000
14606060606.0606,7.580701e-001,6.561625e-002,4.903379e+000,2.833623e+000,1.000000e+000,0.000000e+000
14662626262.6263,7.489201e-001,6.571472e-002,4.844942e+000,2.875150e+000,1.000000e+000,0.000000e+000
14719191919.1919,7.518793e-001,6.563508e-002,4.959369e+000,2.774217e+000,1.000000e+000,0.000000e+000
14775757575.7576,7.482972e-001,6.544975e-002,4.856247e+000,2.857868e+000,1.000000e+000,0.000000e+000
14832323232.3232,7.548327e-001,6.555940e-002,5.067785e+000,2.822851e+000,1.000000e+000,0.000000e+000
