Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 1.100000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Wednesday, February 14, 2024 15:06:08"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u'')
12400000000.0000,8.879419e-001,1.584265e-001,1.999101e+001,3.174904e+001,1.000000e+000,0.000000e+000
12456565656.5657,8.788207e-001,1.587241e-001,1.831619e+001,3.413679e+001,1.000000e+000,0.000000e+000
12513131313.1313,8.823273e-001,1.598797e-001,1.967664e+001,3.384563e+001,1.000000e+000,0.000000e+000
12569696969.6970,8.780527e-001,1.601326e-001,1.688870e+001,3.655829e+001,1.000000e+000,0.000000e+000
12626262626.2626,8.774028e-001,1.602567e-001,1.743028e+001,3.602336e+001,1.000000e+000,0.000000e+000
12682828282.8283,8.791326e-001,1.616829e-001,1.637112e+001,3.684082e+001,1.000000e+000,0.000000e+000
12739393939.3939,8.698415e-001,1.610662e-001,1.505431e+001,3.748247e+001,1.000000e+000,0.000000e+000
12795959595.9596,8.760373e-001,1.625752e-001,1.552693e+001,3.748479e+001,1.000000e+000,0.000000e+000
12852525252.5253,8.619587e-001,1.612197e-001,1.373596e+001,3.771061e+001,1.000000e+000,0.000000e+000
12909090909.0909,8.748677e-001,1.625412e-001,1.643663e+001,3.681055e+001,1.000000e+000,0.000000e+000
12965656565.6566,8.583821e-001,1.621841e-001,1.407031e+001,3.673030e+001,1.000000e+000,0.000000e+000
13022222222.2222,8.714085e-001,1.629674e-001,1.658152e+001,3.625047e+001,1.000000e+000,0.000000e+000
13078787878.7879,8.554076e-001,1.635768e-001,1.310250e+001,3.635159e+001,1.000000e+000,0.000000e+000
13135353535.3535,8.680834e-001,1.633925e-001,1.749993e+001,3.525712e+001,1.000000e+000,0.000000e+000
13191919191.9192,8.547197e-001,1.645135e-001,1.401964e+001,3.373726e+001,1.000000e+000,0.000000e+000
13248484848.4848,8.672494e-001,1.648003e-001,1.946913e+001,3.304928e+001,1.000000e+000,0.000000e+000
13305050505.0505,8.590283e-001,1.672710e-001,1.573728e+001,3.276796e+001,1.000000e+000,0.000000e+000
13361616161.6162,8.639228e-001,1.672978e-001,1.926968e+001,3.712594e+001,1.000000e+000,0.000000e+000
13418181818.1818,8.606636e-001,1.692089e-001,1.562408e+001,3.228552e+001,1.000000e+000,0.000000e+000
13474747474.7475,8.592766e-001,1.687027e-001,1.432522e+001,3.926453e+001,1.000000e+000,0.000000e+000
13531313131.3131,8.659222e-001,1.704939e-001,1.697409e+001,2.757107e+001,1.000000e+000,0.000000e+000
13587878787.8788,8.551191e-001,1.705928e-001,1.645844e+001,3.642583e+001,1.000000e+000,0.000000e+000
13644444444.4444,8.695070e-001,1.724866e-001,1.931911e+001,2.806677e+001,1.000000e+000,0.000000e+000
13701010101.0101,8.488626e-001,1.722325e-001,1.274188e+001,3.900096e+001,1.000000e+000,0.000000e+000
13757575757.5758,8.649695e-001,1.722436e-001,1.820887e+001,3.054399e+001,1.000000e+000,0.000000e+000
13814141414.1414,8.510866e-001,1.741486e-001,1.143452e+001,3.758296e+001,1.000000e+000,0.000000e+000
13870707070.7071,8.693523e-001,1.732853e-001,1.862173e+001,3.236614e+001,1.000000e+000,0.000000e+000
13927272727.2727,8.522869e-001,1.755134e-001,1.226465e+001,3.540396e+001,1.000000e+000,0.000000e+000
13983838383.8384,8.634556e-001,1.737908e-001,2.160825e+001,3.364809e+001,1.000000e+000,0.000000e+000
14040404040.4040,8.493422e-001,1.761244e-001,1.230701e+001,3.532357e+001,1.000000e+000,0.000000e+000
14096969696.9697,8.570870e-001,1.743555e-001,1.910176e+001,4.064204e+001,1.000000e+000,0.000000e+000
14153535353.5354,8.543921e-001,1.765917e-001,1.317383e+001,3.145534e+001,1.000000e+000,0.000000e+000
14210101010.1010,8.594943e-001,1.774055e-001,1.663926e+001,4.110237e+001,1.000000e+000,0.000000e+000
14266666666.6667,8.557005e-001,1.764779e-001,1.294487e+001,2.989696e+001,1.000000e+000,0.000000e+000
14323232323.2323,8.515743e-001,1.784030e-001,1.550065e+001,4.341350e+001,1.000000e+000,0.000000e+000
14379797979.7980,8.504685e-001,1.771402e-001,1.423959e+001,3.050784e+001,1.000000e+000,0.000000e+000
14436363636.3636,8.442186e-001,1.802799e-001,6.967305e+000,4.119336e+001,1.000000e+000,0.000000e+000
14492929292.9293,8.543274e-001,1.781275e-001,1.163783e+001,3.163717e+001,1.000000e+000,0.000000e+000
14549494949.4949,8.465274e-001,1.803582e-001,6.449007e+000,3.690668e+001,1.000000e+000,0.000000e+000
14606060606.0606,8.529985e-001,1.793567e-001,9.874028e+000,3.442820e+001,1.000000e+000,0.000000e+000
14662626262.6263,8.355172e-001,1.801042e-001,6.100513e+000,3.593389e+001,1.000000e+000,0.000000e+000
14719191919.1919,8.457931e-001,1.806819e-001,5.723551e+000,3.823231e+001,1.000000e+000,0.000000e+000
14775757575.7576,8.340860e-001,1.804614e-001,2.889144e+000,3.441392e+001,1.000000e+000,0.000000e+000
14832323232.3232,8.487616e-001,1.809425e-001,4.208460e-001,3.614145e+001,1.000000e+000,0.000000e+000
14888888888.8889,8.382296e-001,1.792506e-001,3.094439e+000,3.263168e+001,1.000000e+000,0.000000e+000
14945454545.4545,8.427236e-001,1.811309e-001,9.056045e-001,3.663025e+001,1.000000e+000,0.000000e+000
15002020202.0202,8.263092e-001,1.790778e-001,1.135389e+000,3.321862e+001,1.000000e+000,0.000000e+000
