Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 1.100000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Wednesday, February 14, 2024 15:07:39"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u'')
12400000000.0000,8.855524e-001,1.495018e-001,2.015343e+001,3.378779e+001,1.000000e+000,0.000000e+000
12456565656.5657,8.759531e-001,1.496477e-001,1.777377e+001,3.645490e+001,1.000000e+000,0.000000e+000
12513131313.1313,8.793702e-001,1.506661e-001,1.947241e+001,3.608574e+001,1.000000e+000,0.000000e+000
12569696969.6970,8.745429e-001,1.508518e-001,1.567290e+001,3.881192e+001,1.000000e+000,0.000000e+000
12626262626.2626,8.740769e-001,1.509380e-001,1.658110e+001,3.818881e+001,1.000000e+000,0.000000e+000
12682828282.8283,8.751664e-001,1.522612e-001,1.497323e+001,3.884153e+001,1.000000e+000,0.000000e+000
12739393939.3939,8.662123e-001,1.516545e-001,1.357991e+001,3.932980e+001,1.000000e+000,0.000000e+000
12795959595.9596,8.719368e-001,1.531678e-001,1.398976e+001,3.925132e+001,1.000000e+000,0.000000e+000
12852525252.5253,8.586001e-001,1.519922e-001,1.216516e+001,3.936077e+001,1.000000e+000,0.000000e+000
12909090909.0909,8.711736e-001,1.533695e-001,1.519105e+001,3.871737e+001,1.000000e+000,0.000000e+000
12965656565.6566,8.551797e-001,1.531471e-001,1.269475e+001,3.836682e+001,1.000000e+000,0.000000e+000
13022222222.2222,8.681399e-001,1.540462e-001,1.558327e+001,3.813854e+001,1.000000e+000,0.000000e+000
13078787878.7879,8.523963e-001,1.547022e-001,1.162542e+001,3.791553e+001,1.000000e+000,0.000000e+000
13135353535.3535,8.648558e-001,1.546558e-001,1.652400e+001,3.744763e+001,1.000000e+000,0.000000e+000
13191919191.9192,8.509069e-001,1.557653e-001,1.255905e+001,3.535069e+001,1.000000e+000,0.000000e+000
13248484848.4848,8.631138e-001,1.560354e-001,1.864150e+001,3.541957e+001,1.000000e+000,0.000000e+000
13305050505.0505,8.539831e-001,1.583570e-001,1.423677e+001,3.444612e+001,1.000000e+000,0.000000e+000
13361616161.6162,8.587751e-001,1.583162e-001,1.695427e+001,3.984275e+001,1.000000e+000,0.000000e+000
13418181818.1818,8.544566e-001,1.601052e-001,1.405876e+001,3.372250e+001,1.000000e+000,0.000000e+000
13474747474.7475,8.527820e-001,1.594998e-001,1.118471e+001,4.017268e+001,1.000000e+000,0.000000e+000
13531313131.3131,8.586220e-001,1.611931e-001,1.603509e+001,2.884100e+001,1.000000e+000,0.000000e+000
13587878787.8788,8.478096e-001,1.611870e-001,1.368403e+001,3.766007e+001,1.000000e+000,0.000000e+000
13644444444.4444,8.613413e-001,1.629853e-001,1.837190e+001,2.946585e+001,1.000000e+000,0.000000e+000
13701010101.0101,8.409715e-001,1.627010e-001,9.837213e+000,3.893351e+001,1.000000e+000,0.000000e+000
13757575757.5758,8.565848e-001,1.626286e-001,1.680473e+001,3.178072e+001,1.000000e+000,0.000000e+000
13814141414.1414,8.425786e-001,1.644201e-001,9.052318e+000,3.722710e+001,1.000000e+000,0.000000e+000
13870707070.7071,8.608458e-001,1.635870e-001,1.698131e+001,3.347965e+001,1.000000e+000,0.000000e+000
13927272727.2727,8.436417e-001,1.656947e-001,1.044912e+001,3.511439e+001,1.000000e+000,0.000000e+000
13983838383.8384,8.546414e-001,1.639750e-001,1.980040e+001,3.480018e+001,1.000000e+000,0.000000e+000
14040404040.4040,8.407239e-001,1.661753e-001,1.101987e+001,3.478485e+001,1.000000e+000,0.000000e+000
14096969696.9697,8.486853e-001,1.645075e-001,1.651494e+001,4.034116e+001,1.000000e+000,0.000000e+000
14153535353.5354,8.460647e-001,1.666787e-001,1.231112e+001,3.123975e+001,1.000000e+000,0.000000e+000
14210101010.1010,8.513026e-001,1.674335e-001,1.466286e+001,4.031906e+001,1.000000e+000,0.000000e+000
14266666666.6667,8.478680e-001,1.666484e-001,1.240847e+001,2.964955e+001,1.000000e+000,0.000000e+000
14323232323.2323,8.437559e-001,1.684362e-001,1.401979e+001,4.208273e+001,1.000000e+000,0.000000e+000
14379797979.7980,8.430696e-001,1.673236e-001,1.383523e+001,3.022635e+001,1.000000e+000,0.000000e+000
14436363636.3636,8.374372e-001,1.703919e-001,6.456328e+000,4.045986e+001,1.000000e+000,0.000000e+000
14492929292.9293,8.476666e-001,1.683684e-001,1.137584e+001,3.146609e+001,1.000000e+000,0.000000e+000
14549494949.4949,8.400709e-001,1.705692e-001,6.160730e+000,3.638181e+001,1.000000e+000,0.000000e+000
14606060606.0606,8.464720e-001,1.695855e-001,9.620804e+000,3.412730e+001,1.000000e+000,0.000000e+000
14662626262.6263,8.295358e-001,1.703688e-001,6.028888e+000,3.543953e+001,1.000000e+000,0.000000e+000
14719191919.1919,8.394296e-001,1.708459e-001,5.577213e+000,3.782218e+001,1.000000e+000,0.000000e+000
14775757575.7576,8.281777e-001,1.707739e-001,2.920182e+000,3.403467e+001,1.000000e+000,0.000000e+000
14832323232.3232,8.422977e-001,1.711518e-001,1.906569e-001,3.569315e+001,1.000000e+000,0.000000e+000
14888888888.8889,8.324810e-001,1.696678e-001,2.997340e+000,3.230624e+001,1.000000e+000,0.000000e+000
14945454545.4545,8.364510e-001,1.713978e-001,7.048350e-001,3.615161e+001,1.000000e+000,0.000000e+000
15002020202.0202,8.207740e-001,1.694614e-001,1.117243e+000,3.289875e+001,1.000000e+000,0.000000e+000
15058585858.5859,8.284917e-001,1.712178e-001,1.886488e-001,3.760831e+001,1.000000e+000,0.000000e+000
15115151515.1515,8.207939e-001,1.686600e-001,-5.008558e-001,3.221468e+001,1.000000e+000,0.000000e+000
15171717171.7172,8.336871e-001,1.698826e-001,7.201663e-001,3.479150e+001,1.000000e+000,0.000000e+000
15228282828.2828,8.281279e-001,1.692272e-001,8.238767e-001,3.306635e+001,1.000000e+000,0.000000e+000
15284848484.8485,8.355606e-001,1.711851e-001,1.842015e+000,3.734048e+001,1.000000e+000,0.000000e+000
15341414141.4141,8.195591e-001,1.696799e-001,7.363708e-001,3.348997e+001,1.000000e+000,0.000000e+000
15397979797.9798,8.297656e-001,1.701415e-001,1.893711e+000,3.600095e+001,1.000000e+000,0.000000e+000
15454545454.5455,8.257430e-001,1.703827e-001,2.033470e+000,3.414633e+001,1.000000e+000,0.000000e+000
15511111111.1111,8.338632e-001,1.704544e-001,4.030946e+000,3.523234e+001,1.000000e+000,0.000000e+000
15567676767.6768,8.298488e-001,1.718007e-001,3.891990e+000,3.345425e+001,1.000000e+000,0.000000e+000
15624242424.2424,8.262365e-001,1.707421e-001,5.559394e+000,3.414476e+001,1.000000e+000,0.000000e+000
15680808080.8081,8.216962e-001,1.717465e-001,4.880067e+000,3.189409e+001,1.000000e+000,0.000000e+000
15737373737.3737,8.174660e-001,1.712627e-001,5.933720e+000,3.390128e+001,1.000000e+000,0.000000e+000
15793939393.9394,8.267660e-001,1.731810e-001,6.949784e+000,3.249960e+001,1.000000e+000,0.000000e+000
15850505050.5051,8.131545e-001,1.727964e-001,4.422485e+000,3.275588e+001,1.000000e+000,0.000000e+000
15907070707.0707,8.250892e-001,1.732159e-001,7.088399e+000,3.089898e+001,1.000000e+000,0.000000e+000
15963636363.6364,8.009257e-001,1.726469e-001,5.011932e+000,3.064396e+001,1.000000e+000,0.000000e+000
16020202020.2020,8.206775e-001,1.742662e-001,8.603655e+000,3.067540e+001,1.000000e+000,0.000000e+000
16076767676.7677,7.955719e-001,1.736093e-001,3.306162e+000,3.039995e+001,1.000000e+000,0.000000e+000
16133333333.3333,8.183736e-001,1.750223e-001,8.359896e+000,3.143596e+001,1.000000e+000,0.000000e+000
16189898989.8990,7.962758e-001,1.744040e-001,3.465527e+000,2.935555e+001,1.000000e+000,0.000000e+000
16246464646.4646,8.139235e-001,1.750764e-001,7.932053e+000,3.038764e+001,1.000000e+000,0.000000e+000
16303030303.0303,8.017747e-001,1.765676e-001,3.965108e+000,2.978370e+001,1.000000e+000,0.000000e+000
16359595959.5960,8.141397e-001,1.765403e-001,5.896304e+000,3.157359e+001,1.000000e+000,0.000000e+000
16416161616.1616,8.089190e-001,1.775210e-001,3.411318e+000,2.933771e+001,1.000000e+000,0.000000e+000
16472727272.7273,8.056018e-001,1.759032e-001,4.920114e+000,3.080599e+001,1.000000e+000,0.000000e+000
16529292929.2929,8.103008e-001,1.785490e-001,3.874584e+000,2.973023e+001,1.000000e+000,0.000000e+000
16585858585.8586,7.977976e-001,1.769404e-001,2.811074e+000,3.013331e+001,1.000000e+000,0.000000e+000
16642424242.4242,8.165535e-001,1.790777e-001,2.852259e+000,2.851026e+001,1.000000e+000,0.000000e+000
16698989898.9899,7.988768e-001,1.770275e-001,2.031614e+000,2.830652e+001,1.000000e+000,0.000000e+000
16755555555.5556,8.161567e-001,1.787610e-001,3.590400e+000,2.797088e+001,1.000000e+000,0.000000e+000
16812121212.1212,7.946484e-001,1.782385e-001,1.027753e+000,2.891050e+001,1.000000e+000,0.000000e+000
16868686868.6869,8.088356e-001,1.781082e-001,2.442273e+000,2.777720e+001,1.000000e+000,0.000000e+000
16925252525.2525,7.942009e-001,1.786608e-001,-5.292280e-002,2.780327e+001,1.000000e+000,0.000000e+000
16981818181.8182,8.068545e-001,1.782735e-001,1.792245e+000,2.652271e+001,1.000000e+000,0.000000e+000
17038383838.3838,8.000486e-001,1.798085e-001,-3.466514e-001,2.746933e+001,1.000000e+000,0.000000e+000
17094949494.9495,7.992560e-001,1.789006e-001,1.588866e+000,2.668918e+001,1.000000e+000,0.000000e+000
17151515151.5152,7.951916e-001,1.801776e-001,-1.352022e+000,2.738258e+001,1.000000e+000,0.000000e+000
17208080808.0808,7.941484e-001,1.795585e-001,-5.113829e-001,2.754325e+001,1.000000e+000,0.000000e+000
17264646464.6465,7.960302e-001,1.806319e-001,-2.071002e+000,2.652254e+001,1.000000e+000,0.000000e+000
17321212121.2121,7.966841e-001,1.799706e-001,-2.117682e+000,2.615660e+001,1.000000e+000,0.000000e+000
17377777777.7778,7.977806e-001,1.801003e-001,-2.028992e+000,2.555589e+001,1.000000e+000,0.000000e+000
17434343434.3434,7.974535e-001,1.800907e-001,-2.372948e+000,2.616227e+001,1.000000e+000,0.000000e+000
17490909090.9091,7.933453e-001,1.799494e-001,-2.651198e+000,2.563240e+001,1.000000e+000,0.000000e+000
17547474747.4747,7.989993e-001,1.801950e-001,-3.717351e+000,2.584415e+001,1.000000e+000,0.000000e+000
17604040404.0404,7.948596e-001,1.790820e-001,-3.406141e+000,2.459562e+001,1.000000e+000,0.000000e+000
17660606060.6061,8.061075e-001,1.802242e-001,-3.607543e+000,2.527291e+001,1.000000e+000,0.000000e+000
17717171717.1717,8.012279e-001,1.792347e-001,-3.724199e+000,2.432622e+001,1.000000e+000,0.000000e+000
17773737373.7374,8.108302e-001,1.802856e-001,-3.497614e+000,2.611794e+001,1.000000e+000,0.000000e+000
17830303030.3030,8.015034e-001,1.792035e-001,-4.021822e+000,2.461551e+001,1.000000e+000,0.000000e+000
17886868686.8687,8.058323e-001,1.798175e-001,-4.286821e+000,2.588679e+001,1.000000e+000,0.000000e+000
17943434343.4343,8.071401e-001,1.796250e-001,-4.359493e+000,2.451230e+001,1.000000e+000,0.000000e+000
18000000000.0000,8.003276e-001,1.788345e-001,-4.371672e+000,2.454803e+001,1.000000e+000,0.000000e+000

