Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 1.100000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Wednesday, February 14, 2024 15:11:01"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u'')
12400000000.0000,8.724408e-001,1.619763e-001,1.659508e+001,2.685650e+001,1.000000e+000,0.000000e+000
12456565656.5657,8.629986e-001,1.622802e-001,1.554981e+001,2.900161e+001,1.000000e+000,0.000000e+000
12513131313.1313,8.667678e-001,1.633337e-001,1.650416e+001,2.919966e+001,1.000000e+000,0.000000e+000
12569696969.6970,8.616421e-001,1.635386e-001,1.445401e+001,3.143001e+001,1.000000e+000,0.000000e+000
12626262626.2626,8.613732e-001,1.635480e-001,1.489090e+001,3.128305e+001,1.000000e+000,0.000000e+000
12682828282.8283,8.619826e-001,1.648947e-001,1.385332e+001,3.208518e+001,1.000000e+000,0.000000e+000
12739393939.3939,8.532961e-001,1.641840e-001,1.303352e+001,3.273674e+001,1.000000e+000,0.000000e+000
12795959595.9596,8.585925e-001,1.657616e-001,1.307437e+001,3.292453e+001,1.000000e+000,0.000000e+000
12852525252.5253,8.454695e-001,1.644927e-001,1.191612e+001,3.340867e+001,1.000000e+000,0.000000e+000
12909090909.0909,8.575757e-001,1.658425e-001,1.353610e+001,3.297695e+001,1.000000e+000,0.000000e+000
12965656565.6566,8.419281e-001,1.656277e-001,1.199661e+001,3.305087e+001,1.000000e+000,0.000000e+000
13022222222.2222,8.547190e-001,1.665135e-001,1.352972e+001,3.299296e+001,1.000000e+000,0.000000e+000
13078787878.7879,8.392868e-001,1.671984e-001,1.093513e+001,3.326626e+001,1.000000e+000,0.000000e+000
13135353535.3535,8.512227e-001,1.669965e-001,1.384329e+001,3.301928e+001,1.000000e+000,0.000000e+000
13191919191.9192,8.375268e-001,1.681112e-001,1.107209e+001,3.176031e+001,1.000000e+000,0.000000e+000
13248484848.4848,8.487339e-001,1.681043e-001,1.492549e+001,3.212057e+001,1.000000e+000,0.000000e+000
13305050505.0505,8.394718e-001,1.704548e-001,1.185095e+001,3.132087e+001,1.000000e+000,0.000000e+000
13361616161.6162,8.429679e-001,1.702819e-001,1.294143e+001,3.491698e+001,1.000000e+000,0.000000e+000
13418181818.1818,8.381761e-001,1.720729e-001,1.115860e+001,3.084076e+001,1.000000e+000,0.000000e+000
13474747474.7475,8.349069e-001,1.714392e-001,8.697548e+000,3.474873e+001,1.000000e+000,0.000000e+000
