Transmission Line And Free Space Method 18.0.18011201,,,,,,,,,,,,,,
Keysight Technologies,N5232B,MY57181309,A.13.20.12,,,,,,,,,,,
,,,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,,,
Ports:, 1 & 2,,,,,,,,,,,,,
Measurement Model:, Reflection/Transmission Mu and Epsilon,,,,,,,,,,,,,
Sample Holder Type:, Waveguide,,,,,,,,,,,,,
Cutoff Frequency:, 9.487103 GHz,,,,,,,,,,,,,
Sample Holder Length:, 6.500000 mm,,,,,,,,,,,,,
Distance to Sample:, 0.000000 mm,,,,,,,,,,,,,
Sample Thickness:, 2.800000 mm,,,,,,,,,,,,,
IFBW:, 300.000000 Hz,,,,,,,,,,,,,
Power:, 0.000000 dBm,,,,,,,,,,,,,
Date:,"Tuesday, November 22, 2022 17:09:28",,,,,,,,,,,,,
frequency(Hz),Tr 1  Data(e'),Tr 2  Data(e''),Tr 3  Data(u'),Tr 4  Data(u''),Tr 5  S11(LinM),Tr 6  S21(LinM),,R,T,A,,SEr,Set,Sea
12400000000,1.72E+01,2.96E+01,8.92E-01,2.02E-02,8.37E-01,4.49E-02,,0.701,0.002,0.297,,5.242,26.961,21.719
12456565657,1.72E+01,2.94E+01,8.88E-01,2.33E-02,8.34E-01,4.50E-02,,0.695,0.002,0.303,,5.163,26.934,21.770
12513131313,1.72E+01,2.97E+01,8.82E-01,1.40E-02,8.36E-01,4.50E-02,,0.698,0.002,0.300,,5.203,26.928,21.725
12569696970,1.69E+01,2.94E+01,8.90E-01,1.14E-02,8.33E-01,4.51E-02,,0.693,0.002,0.305,,5.133,26.910,21.777
12626262626,1.70E+01,2.95E+01,8.85E-01,1.03E-02,8.34E-01,4.50E-02,,0.696,0.002,0.302,,5.172,26.926,21.754
12682828283,1.67E+01,2.92E+01,8.93E-01,9.10E-03,8.32E-01,4.52E-02,,0.692,0.002,0.306,,5.119,26.898,21.778
12739393939,1.71E+01,2.93E+01,8.79E-01,1.55E-02,8.34E-01,4.51E-02,,0.696,0.002,0.302,,5.165,26.912,21.747
12795959596,1.68E+01,2.89E+01,8.93E-01,1.72E-02,8.29E-01,4.52E-02,,0.687,0.002,0.311,,5.050,26.904,21.854
12852525253,1.74E+01,2.93E+01,8.67E-01,1.64E-02,8.33E-01,4.53E-02,,0.693,0.002,0.305,,5.131,26.883,21.752
12909090909,1.68E+01,2.85E+01,8.93E-01,2.30E-02,8.27E-01,4.51E-02,,0.683,0.002,0.315,,4.991,26.915,21.924
12965656566,1.74E+01,2.88E+01,8.68E-01,2.53E-02,8.30E-01,4.53E-02,,0.688,0.002,0.310,,5.062,26.880,21.818
