Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.800000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Friday, November 03, 2023 15:20:17"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u'')
12400000000.0000,8.453581e-001,5.245206e-002,6.828651e+000,3.056710e+000,1.000000e+000,0.000000e+000
12456565656.5657,8.367881e-001,5.237230e-002,6.786992e+000,3.110121e+000,1.000000e+000,0.000000e+000
12513131313.1313,8.388132e-001,5.229622e-002,6.708051e+000,2.990305e+000,1.000000e+000,0.000000e+000
12569696969.6970,8.342120e-001,5.226807e-002,6.693953e+000,3.082664e+000,1.000000e+000,0.000000e+000
12626262626.2626,8.331576e-001,5.199047e-002,6.648367e+000,2.996881e+000,1.000000e+000,0.000000e+000
12682828282.8283,8.324125e-001,5.220400e-002,6.560478e+000,3.026393e+000,1.000000e+000,0.000000e+000
12739393939.3939,8.253018e-001,5.185302e-002,6.573045e+000,3.009321e+000,1.000000e+000,0.000000e+000
12795959595.9596,8.273578e-001,5.195095e-002,6.434187e+000,2.998203e+000,1.000000e+000,0.000000e+000
12852525252.5253,8.176420e-001,5.151863e-002,6.451826e+000,2.989899e+000,1.000000e+000,0.000000e+000
12909090909.0909,8.243625e-001,5.156820e-002,6.250436e+000,2.884889e+000,1.000000e+000,0.000000e+000
12965656565.6566,8.107020e-001,5.145851e-002,6.270168e+000,2.963936e+000,1.000000e+000,0.000000e+000
13022222222.2222,8.185251e-001,5.139220e-002,6.112964e+000,2.819063e+000,1.000000e+000,0.000000e+000
13078787878.7879,8.033908e-001,5.136836e-002,6.142726e+000,2.983684e+000,1.000000e+000,0.000000e+000
13135353535.3535,8.110649e-001,5.108234e-002,5.994885e+000,2.759133e+000,1.000000e+000,0.000000e+000
13191919191.9192,7.964434e-001,5.099590e-002,5.898573e+000,2.959081e+000,1.000000e+000,0.000000e+000
13248484848.4848,8.027343e-001,5.086413e-002,5.828007e+000,2.712068e+000,1.000000e+000,0.000000e+000
13305050505.0505,7.906246e-001,5.087316e-002,5.692517e+000,2.917407e+000,1.000000e+000,0.000000e+000
13361616161.6162,7.924298e-001,5.054427e-002,5.755661e+000,2.714538e+000,1.000000e+000,0.000000e+000
13418181818.1818,7.890416e-001,5.047962e-002,5.486206e+000,2.804145e+000,1.000000e+000,0.000000e+000
13474747474.7475,7.898632e-001,5.018841e-002,5.691934e+000,2.702518e+000,1.000000e+000,0.000000e+000
13531313131.3131,7.964445e-001,5.037310e-002,5.345858e+000,2.638606e+000,1.000000e+000,0.000000e+000
13587878787.8788,7.913023e-001,5.038054e-002,5.602580e+000,2.666508e+000,1.000000e+000,0.000000e+000
13644444444.4444,8.018542e-001,5.050122e-002,5.325323e+000,2.493606e+000,1.000000e+000,0.000000e+000
13701010101.0101,7.899766e-001,5.044530e-002,5.552407e+000,2.614118e+000,1.000000e+000,0.000000e+000
13757575757.5758,8.028369e-001,5.021769e-002,5.326150e+000,2.413557e+000,1.000000e+000,0.000000e+000
13814141414.1414,7.956359e-001,5.053786e-002,5.485322e+000,2.537331e+000,1.000000e+000,0.000000e+000
13870707070.7071,8.083803e-001,5.005405e-002,5.338906e+000,2.339213e+000,1.000000e+000,0.000000e+000
13927272727.2727,7.966828e-001,5.037356e-002,5.311163e+000,2.493002e+000,1.000000e+000,0.000000e+000
13983838383.8384,8.041018e-001,4.976312e-002,5.245958e+000,2.250152e+000,1.000000e+000,0.000000e+000
14040404040.4040,7.933082e-001,5.002706e-002,5.148403e+000,2.378809e+000,1.000000e+000,0.000000e+000
