Transmission Line And Free Space Method 18.0.18011201,,,,,,,,,,,,,,
Keysight Technologies,N5232B,MY57181309,A.13.20.12,,,,,,,,,,,
,,,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,,,
Ports:, 1 & 2,,,,,,,,,,,,,
Measurement Model:, Reflection/Transmission Epsilon Precision,,,,,,,,,,,,,
Sample Holder Type:, Waveguide,,,,,,,,,,,,,
Cutoff Frequency:, 9.487103 GHz,,,,,,,,,,,,,
Sample Holder Length:, 6.500000 mm,,,,,,,,,,,,,
Distance to Sample:, 0.000000 mm,,,,,,,,,,,,,
Sample Thickness:, 2.000000 mm,,,,,,,,,,,,,
IFBW:, 300.000000 Hz,,,,,,,,,,,,,
Power:, 0.000000 dBm,,,,,,,,,,,,,
Date:,"Monday, August 22, 2022 21:01:31",,,,,,,,,,,,,
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 4  Data(e'),Tr 5  Data(e''),Tr 6  Data(u'),Tr 7  Data(u''),,R,T,A,,SER,SET,SEA
12400000000,8.76E-01,1.06E-01,9.38E+00,3.76E+00,1.00E+00,0.00E+00,,0.768,0.011,0.221,,6.336,19.520,13.184
12456565657,8.72E-01,1.06E-01,9.18E+00,3.64E+00,1.00E+00,0.00E+00,,0.761,0.011,0.228,,6.213,19.505,13.292
12513131313,8.72E-01,1.06E-01,9.26E+00,3.67E+00,1.00E+00,0.00E+00,,0.760,0.011,0.229,,6.203,19.513,13.310
12569696970,8.73E-01,1.06E-01,9.15E+00,3.58E+00,1.00E+00,0.00E+00,,0.761,0.011,0.227,,6.225,19.499,13.275
12626262626,8.70E-01,1.06E-01,9.18E+00,3.71E+00,1.00E+00,0.00E+00,,0.757,0.011,0.232,,6.136,19.517,13.382
12682828283,8.73E-01,1.06E-01,9.13E+00,3.56E+00,1.00E+00,0.00E+00,,0.762,0.011,0.226,,6.239,19.484,13.245
12739393939,8.67E-01,1.06E-01,9.04E+00,3.66E+00,1.00E+00,0.00E+00,,0.752,0.011,0.236,,6.062,19.496,13.434
12795959596,8.71E-01,1.06E-01,9.05E+00,3.55E+00,1.00E+00,0.00E+00,,0.759,0.011,0.230,,6.178,19.472,13.294
12852525253,8.65E-01,1.06E-01,8.91E+00,3.55E+00,1.00E+00,0.00E+00,,0.748,0.011,0.240,,5.994,19.480,13.485
12909090909,8.71E-01,1.06E-01,8.95E+00,3.50E+00,1.00E+00,0.00E+00,,0.758,0.011,0.231,,6.165,19.463,13.298
12965656566,8.64E-01,1.07E-01,8.83E+00,3.52E+00,1.00E+00,0.00E+00,,0.747,0.011,0.242,,5.961,19.451,13.490
