Transmission Line And Free Space Method 18.0.18011201,,,,,,,,,,,,,,
Keysight Technologies,N5232B,MY57181309,A.13.20.12,,,,,,,,,,,
,,,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,,,
Ports:, 1 & 2,,,,,,,,,,,,,
Measurement Model:, Reflection/Transmission Mu and Epsilon,,,,,,,,,,,,,
Sample Holder Type:, Waveguide,,,,,,,,,,,,,
Cutoff Frequency:, 9.487103 GHz,,,,,,,,,,,,,
Sample Holder Length:, 6.500000 mm,,,,,,,,,,,,,
Distance to Sample:, 0.000000 mm,,,,,,,,,,,,,
Sample Thickness:, 1.880000 mm,,,,,,,,,,,,,
IFBW:, 300.000000 Hz,,,,,,,,,,,,,
Power:, 0.000000 dBm,,,,,,,,,,,,,
Date:,"Thursday, July 21, 2022 21:08:02",,,,,,,,,,,,,
frequency(Hz),Tr 1  Data(e'),Tr 2  Data(e''),Tr 3  Data(u'),Tr 4  Data(u''),Tr 5  S11(LinM),Tr 6  S21(LinM),,SEr,Sea,Set,,R,T,A
12400000000,2.53E+01,1.54E+01,4.03E-01,6.10E-01,8.30E-01,6.56E-02,,5.07,18.59,23.66,,0.689,0.004,0.307
12456565657,2.51E+01,1.58E+01,4.10E-01,6.02E-01,8.26E-01,6.57E-02,,4.98,18.67,23.65,,0.682,0.004,0.313
12513131313,2.55E+01,1.55E+01,3.98E-01,5.91E-01,8.28E-01,6.59E-02,,5.03,18.59,23.62,,0.686,0.004,0.310
12569696970,2.51E+01,1.61E+01,4.19E-01,5.88E-01,8.24E-01,6.57E-02,,4.94,18.71,23.65,,0.679,0.004,0.317
12626262626,2.55E+01,1.54E+01,3.89E-01,5.87E-01,8.27E-01,6.58E-02,,5.01,18.62,23.63,,0.684,0.004,0.312
12682828283,2.49E+01,1.57E+01,4.05E-01,5.95E-01,8.25E-01,6.57E-02,,4.95,18.69,23.64,,0.681,0.004,0.315
12739393939,2.53E+01,1.49E+01,3.71E-01,5.94E-01,8.27E-01,6.60E-02,,5,18.61,23.61,,0.684,0.004,0.312
12795959596,2.48E+01,1.56E+01,4.01E-01,5.94E-01,8.22E-01,6.60E-02,,4.89,18.72,23.6,,0.676,0.004,0.320
12852525253,2.55E+01,1.48E+01,3.61E-01,5.80E-01,8.26E-01,6.64E-02,,4.97,18.58,23.55,,0.682,0.004,0.313
12909090909,2.44E+01,1.57E+01,4.15E-01,5.98E-01,8.16E-01,6.61E-02,,4.77,18.83,23.6,,0.666,0.004,0.330
12965656566,2.51E+01,1.47E+01,3.63E-01,5.89E-01,8.22E-01,6.62E-02,,4.89,18.69,23.58,,0.676,0.004,0.320
