Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.800000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Friday, November 03, 2023 15:13:34"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u'')
12400000000.0000,9.111798e-001,2.520118e-002,7.179424e+000,1.722472e+000,1.000000e+000,0.000000e+000
12456565656.5657,9.033074e-001,2.526563e-002,7.100284e+000,1.756441e+000,1.000000e+000,0.000000e+000
12513131313.1313,9.044178e-001,2.531830e-002,7.041740e+000,1.703633e+000,1.000000e+000,0.000000e+000
12569696969.6970,9.018860e-001,2.538253e-002,7.037409e+000,1.749561e+000,1.000000e+000,0.000000e+000
12626262626.2626,8.992663e-001,2.530953e-002,6.976382e+000,1.717875e+000,1.000000e+000,0.000000e+000
12682828282.8283,9.006936e-001,2.550166e-002,6.904349e+000,1.728457e+000,1.000000e+000,0.000000e+000
12739393939.3939,8.917457e-001,2.540550e-002,6.884263e+000,1.736582e+000,1.000000e+000,0.000000e+000
12795959595.9596,8.958681e-001,2.555142e-002,6.771473e+000,1.730408e+000,1.000000e+000,0.000000e+000
12852525252.5253,8.845330e-001,2.538986e-002,6.767158e+000,1.747358e+000,1.000000e+000,0.000000e+000
12909090909.0909,8.943527e-001,2.548166e-002,6.597974e+000,1.665349e+000,1.000000e+000,0.000000e+000
12965656565.6566,8.796471e-001,2.549313e-002,6.600342e+000,1.733620e+000,1.000000e+000,0.000000e+000
13022222222.2222,8.896970e-001,2.552649e-002,6.464143e+000,1.626737e+000,1.000000e+000,0.000000e+000
13078787878.7879,8.752050e-001,2.560022e-002,6.484088e+000,1.745543e+000,1.000000e+000,0.000000e+000
13135353535.3535,8.857404e-001,2.555535e-002,6.342211e+000,1.579454e+000,1.000000e+000,0.000000e+000
13191919191.9192,8.731089e-001,2.564487e-002,6.291844e+000,1.735032e+000,1.000000e+000,0.000000e+000
13248484848.4848,8.830172e-001,2.573914e-002,6.211068e+000,1.527931e+000,1.000000e+000,0.000000e+000
13305050505.0505,8.733284e-001,2.593797e-002,6.163302e+000,1.704100e+000,1.000000e+000,0.000000e+000
13361616161.6162,8.755977e-001,2.592965e-002,6.203267e+000,1.532768e+000,1.000000e+000,0.000000e+000
13418181818.1818,8.711759e-001,2.603503e-002,6.012191e+000,1.683483e+000,1.000000e+000,0.000000e+000
13474747474.7475,8.685057e-001,2.594266e-002,6.187778e+000,1.590893e+000,1.000000e+000,0.000000e+000
13531313131.3131,8.706650e-001,2.598845e-002,5.866555e+000,1.655935e+000,1.000000e+000,0.000000e+000
13587878787.8788,8.598872e-001,2.592033e-002,6.080583e+000,1.656677e+000,1.000000e+000,0.000000e+000
13644444444.4444,8.665037e-001,2.583188e-002,5.760761e+000,1.599190e+000,1.000000e+000,0.000000e+000
13701010101.0101,8.504241e-001,2.563934e-002,5.940356e+000,1.670744e+000,1.000000e+000,0.000000e+000
13757575757.5758,8.640017e-001,2.537006e-002,5.647571e+000,1.531724e+000,1.000000e+000,0.000000e+000
13814141414.1414,8.583019e-001,2.551735e-002,5.790751e+000,1.589509e+000,1.000000e+000,0.000000e+000
13870707070.7071,8.740776e-001,2.525469e-002,5.603235e+000,1.430497e+000,1.000000e+000,0.000000e+000
13927272727.2727,8.632310e-001,2.550311e-002,5.595966e+000,1.551335e+000,1.000000e+000,0.000000e+000
13983838383.8384,8.733151e-001,2.526931e-002,5.491948e+000,1.347657e+000,1.000000e+000,0.000000e+000
14040404040.4040,8.628091e-001,2.552570e-002,5.434579e+000,1.466146e+000,1.000000e+000,0.000000e+000
14096969696.9697,8.739388e-001,2.535145e-002,5.468659e+000,1.258593e+000,1.000000e+000,0.000000e+000
14153535353.5354,8.707158e-001,2.554090e-002,5.264360e+000,1.398980e+000,1.000000e+000,0.000000e+000
14210101010.1010,8.785639e-001,2.573559e-002,5.398869e+000,1.269530e+000,1.000000e+000,0.000000e+000
14266666666.6667,8.709138e-001,2.554562e-002,5.130488e+000,1.397971e+000,1.000000e+000,0.000000e+000
14323232323.2323,8.722905e-001,2.592825e-002,5.248394e+000,1.236811e+000,1.000000e+000,0.000000e+000
