Transmission Line And Free Space Method 18.0.18011201
Keysight Technologies,N5232B,MY57181309,A.13.20.12

Ch 1
Ports:, 1 & 2
Measurement Model:, Reflection/Transmission Epsilon Precision
Sample Holder Type:, Waveguide
Cutoff Frequency:, 9.487103 GHz
Sample Holder Length:, 6.000000 mm
Distance to Sample:, 0.000000 mm
Sample Thickness:, 2.800000 mm
IFBW:, 300.000000 Hz
Power:, 0.000000 dBm
Date:,"Friday, November 03, 2023 15:15:51"
frequency(Hz),Tr 2  S11(LinM),Tr 3  S21(LinM),Tr 1  Data(e'),Tr 4  Data(e''),Tr 5  Data(u'),Tr 6  Data(u'')
12400000000.0000,8.730385e-001,2.056542e-002,7.188363e+000,2.062899e+000,1.000000e+000,0.000000e+000
12456565656.5657,8.622857e-001,2.053728e-002,7.091448e+000,2.123674e+000,1.000000e+000,0.000000e+000
12513131313.1313,8.621127e-001,2.049834e-002,6.985301e+000,2.056812e+000,1.000000e+000,0.000000e+000
12569696969.6970,8.591896e-001,2.048612e-002,6.938092e+000,2.098469e+000,1.000000e+000,0.000000e+000
12626262626.2626,8.598492e-001,2.037126e-002,6.852580e+000,2.013998e+000,1.000000e+000,0.000000e+000
12682828282.8283,8.643494e-001,2.053070e-002,6.761800e+000,1.982941e+000,1.000000e+000,0.000000e+000
12739393939.3939,8.606533e-001,2.049223e-002,6.749599e+000,1.940066e+000,1.000000e+000,0.000000e+000
12795959595.9596,8.681462e-001,2.063997e-002,6.648786e+000,1.895500e+000,1.000000e+000,0.000000e+000
12852525252.5253,8.609765e-001,2.053072e-002,6.668166e+000,1.877779e+000,1.000000e+000,0.000000e+000
12909090909.0909,8.726539e-001,2.059187e-002,6.519781e+000,1.777226e+000,1.000000e+000,0.000000e+000
12965656565.6566,8.606822e-001,2.058523e-002,6.543739e+000,1.827014e+000,1.000000e+000,0.000000e+000
13022222222.2222,8.719243e-001,2.060044e-002,6.424084e+000,1.707627e+000,1.000000e+000,0.000000e+000
13078787878.7879,8.591898e-001,2.066939e-002,6.466391e+000,1.817773e+000,1.000000e+000,0.000000e+000
13135353535.3535,8.705075e-001,2.064445e-002,6.340373e+000,1.643528e+000,1.000000e+000,0.000000e+000
13191919191.9192,8.589501e-001,2.074061e-002,6.310074e+000,1.794962e+000,1.000000e+000,0.000000e+000
13248484848.4848,8.695040e-001,2.085597e-002,6.239310e+000,1.585689e+000,1.000000e+000,0.000000e+000
13305050505.0505,8.605154e-001,2.107795e-002,6.209130e+000,1.758752e+000,1.000000e+000,0.000000e+000
13361616161.6162,8.639769e-001,2.114106e-002,6.260972e+000,1.579194e+000,1.000000e+000,0.000000e+000
13418181818.1818,8.604469e-001,2.132354e-002,6.090183e+000,1.724487e+000,1.000000e+000,0.000000e+000
13474747474.7475,8.593287e-001,2.137623e-002,6.284195e+000,1.626306e+000,1.000000e+000,0.000000e+000
13531313131.3131,8.630097e-001,2.155606e-002,5.993266e+000,1.684257e+000,1.000000e+000,0.000000e+000
13587878787.8788,8.542787e-001,2.165891e-002,6.235765e+000,1.678026e+000,1.000000e+000,0.000000e+000
13644444444.4444,8.616773e-001,2.180141e-002,5.949401e+000,1.622224e+000,1.000000e+000,0.000000e+000
13701010101.0101,8.460105e-001,2.185661e-002,6.179613e+000,1.701030e+000,1.000000e+000,0.000000e+000
13757575757.5758,8.554428e-001,2.185082e-002,5.922571e+000,1.604135e+000,1.000000e+000,0.000000e+000
13814141414.1414,8.449118e-001,2.211172e-002,6.103237e+000,1.704040e+000,1.000000e+000,0.000000e+000
13870707070.7071,8.540077e-001,2.196312e-002,5.909118e+000,1.587508e+000,1.000000e+000,0.000000e+000
